商品序号,商品ID,艺术家,作品名,artwork_lookup_key,original_reference,scene_1_reference,scene_1_qa_status,scene_1_qa_reason,scene_2_reference,scene_2_qa_status,scene_2_qa_reason,product_qa_status,qa_evidence_path,original_reference_local_path,scene_1_local_path,scene_2_local_path,failure_evidence_path
33,69a9a89df209ba0001775a92,Keith Hall,When Shanghai Turns Green,Keith Hall-When Shanghai Turns Green,LOCAL_SOURCE:033_row35_When Shanghai Turns Green.png|LOOKUP:Keith Hall-When Shanghai Turns Green,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P033_When Shanghai Turns Green_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\033_row35_When Shanghai Turns Green.png,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\033_69a9a89df209ba0001775a92\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\033_69a9a89df209ba0001775a92\image_03.jpg,
34,6a00c3ac0283e200017528b4,Keith Hall,Patina,Keith Hall-Patina,LOCAL_SOURCE:034_row36_Patina.png|LOOKUP:Keith Hall-Patina,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P034_Patina_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\034_row36_Patina.png,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\034_6a00c3ac0283e200017528b4\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\034_6a00c3ac0283e200017528b4\image_03.jpg,
35,6a3a50b882f5610015b47073,又井,小黑桌上的美景#1,又井-小黑桌上的美景#1,LOCAL_SOURCE:035_row37_小黑桌上的美景#1.png|LOOKUP:又井-小黑桌上的美景#1,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P035_小黑桌上的美景#1_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\035_row37_小黑桌上的美景#1.png,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\035_6a3a50b882f5610015b47073\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\035_6a3a50b882f5610015b47073\image_03.jpg,
36,6a3a50be891c6a0015002a3a,又井,小黑桌上的美景#2向日葵,又井-小黑桌上的美景#2向日葵,LOCAL_SOURCE:036_row38_小黑桌上的美景#2向日葵.png|LOOKUP:又井-小黑桌上的美景#2向日葵,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P036_小黑桌上的美景#2向日葵_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\036_row38_小黑桌上的美景#2向日葵.png,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\036_6a3a50be891c6a0015002a3a\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\036_6a3a50be891c6a0015002a3a\image_03.jpg,
37,6a3a503a79e4100015ff6547,又井,张扬虞美人,又井-张扬虞美人,LOCAL_SOURCE:037_row39_张扬虞美人.png|LOOKUP:又井-张扬虞美人,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P037_张扬虞美人_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\037_row39_张扬虞美人.png,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\037_6a3a503a79e4100015ff6547\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\037_6a3a503a79e4100015ff6547\image_03.jpg,
38,6a43928ad528ea0015af9f2c,齐亮,云绕山峰添春色,齐亮-云绕山峰添春色,LOCAL_SOURCE:038_row40_云绕山峰添春色.png|LOOKUP:齐亮-云绕山峰添春色,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P038_云绕山峰添春色_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\038_row40_云绕山峰添春色.png,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\038_6a43928ad528ea0015af9f2c\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\038_6a43928ad528ea0015af9f2c\image_03.jpg,
39,6a3a50c34cc8690015264c87,齐亮,庄稼地里的树木,齐亮-庄稼地里的树木,LOCAL_SOURCE:039_row41_庄稼地里的树木.png|LOOKUP:齐亮-庄稼地里的树木,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P039_庄稼地里的树木_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\039_row41_庄稼地里的树木.png,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\039_6a3a50c34cc8690015264c87\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\039_6a3a50c34cc8690015264c87\image_03.jpg,
40,6a3a5051c875390015663d9a,张赫,轻灵系列—咪,张赫-轻灵系列—咪,LOCAL_SOURCE:040_row42_轻灵系列—咪.png|LOOKUP:张赫-轻灵系列—咪,EXISTING_PRODUCT:image_02.jpg,QA_NEEDS_MANUAL,命中四边覆盖墙面和家具背景，未能可靠定位真实作品边界；不能据此判断完整性/装裱,EXISTING_PRODUCT:image_03.jpg,QA_NEEDS_MANUAL,无法可靠定位真实作品四角，不能完成完整性/装裱核验,QA_NEEDS_MANUAL,previews/qa_batches/P040_轻灵系列—咪_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\040_row42_轻灵系列—咪.png,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\040_6a3a5051c875390015663d9a\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\040_6a3a5051c875390015663d9a\image_03.jpg,previews/qa_failures/P040_轻灵系列—咪_QA.jpg
41,6a3a50c979e4100015ff6a4d,张赫,轻灵系列--对语,张赫-轻灵系列--对语,LOCAL_SOURCE:041_row43_轻灵系列--对语.png|LOOKUP:张赫-轻灵系列--对语,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P041_轻灵系列--对语_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\041_row43_轻灵系列--对语.png,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\041_6a3a50c979e4100015ff6a4d\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\041_6a3a50c979e4100015ff6a4d\image_03.jpg,
42,6a42281849fb5f001546f1d4,张玲,野兽派猫居手记 1,张玲-野兽派猫居手记 1,LOCAL_SOURCE:042_row44_野兽派猫居手记 1.jpeg|LOOKUP:张玲-野兽派猫居手记 1,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P042_野兽派猫居手记 1_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\042_row44_野兽派猫居手记 1.jpeg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\042_6a42281849fb5f001546f1d4\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\042_6a42281849fb5f001546f1d4\image_03.jpg,
43,6a42281da442e100155f731d,张玲,野兽派猫居手记 2,张玲-野兽派猫居手记 2,LOCAL_SOURCE:043_row45_野兽派猫居手记 2.jpeg|LOOKUP:张玲-野兽派猫居手记 2,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P043_野兽派猫居手记 2_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\043_row45_野兽派猫居手记 2.jpeg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\043_6a42281da442e100155f731d\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\043_6a42281da442e100155f731d\image_03.jpg,
44,6a422822c875390015656519,张玲,野兽派猫居手记 3,张玲-野兽派猫居手记 3,LOCAL_SOURCE:044_row46_野兽派猫居手记 3.jpeg|LOOKUP:张玲-野兽派猫居手记 3,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P044_野兽派猫居手记 3_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\044_row46_野兽派猫居手记 3.jpeg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\044_6a422822c875390015656519\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\044_6a422822c875390015656519\image_03.jpg,
45,6a422828f7e50e00154b0595,张玲,野兽派猫居手记 4,张玲-野兽派猫居手记 4,LOCAL_SOURCE:045_row47_野兽派猫居手记 4.jpeg|LOOKUP:张玲-野兽派猫居手记 4,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P045_野兽派猫居手记 4_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\045_row47_野兽派猫居手记 4.jpeg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\045_6a422828f7e50e00154b0595\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\045_6a422828f7e50e00154b0595\image_03.jpg,
46,6a4324334ab6d30015328b82,黄昊,赤原三骏,黄昊-赤原三骏,LOCAL_SOURCE:046_row48_赤原三骏.jpeg|LOOKUP:黄昊-赤原三骏,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_NEEDS_MANUAL,场景2作品区域无法可靠定位，不能检查四边、四角和内容,QA_NEEDS_MANUAL,previews/qa_batches/P046_赤原三骏_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\046_row48_赤原三骏.jpeg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\046_6a4324334ab6d30015328b82\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\046_6a4324334ab6d30015328b82\image_03.jpg,previews/qa_failures/P046_赤原三骏_QA.jpg
47,6a4324378a78380015ded5c7,黄昊,翠野碎光,黄昊-翠野碎光,LOCAL_SOURCE:047_row49_翠野碎光.jpeg|LOOKUP:黄昊-翠野碎光,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P047_翠野碎光_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\047_row49_翠野碎光.jpeg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\047_6a4324378a78380015ded5c7\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\047_6a4324378a78380015ded5c7\image_03.jpg,
48,6a43243a43ed640015752ab0,黄昊,紫雾繁花,黄昊-紫雾繁花,LOCAL_SOURCE:048_row50_紫雾繁花.jpeg|LOOKUP:黄昊-紫雾繁花,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P048_紫雾繁花_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\048_row50_紫雾繁花.jpeg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\048_6a43243a43ed640015752ab0\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\048_6a43243a43ed640015752ab0\image_03.jpg,
49,6a43243d82e31900159ab9ec,黄昊,沉青,黄昊-沉青,LOCAL_SOURCE:049_row51_沉青.jpeg|LOOKUP:黄昊-沉青,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P049_沉青_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\049_row51_沉青.jpeg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\049_6a43243d82e31900159ab9ec\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\049_6a43243d82e31900159ab9ec\image_03.jpg,
50,6a432440acfd2d00154d9d38,黄昊,浮世色,黄昊-浮世色,LOCAL_SOURCE:050_row52_浮世色.jpeg|LOOKUP:黄昊-浮世色,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P050_浮世色_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\050_row52_浮世色.jpeg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\050_6a432440acfd2d00154d9d38\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\050_6a432440acfd2d00154d9d38\image_03.jpg,
51,6a432443ab3c850015ae9673,黄昊,蓝海金澜,黄昊-蓝海金澜,LOCAL_SOURCE:051_row53_蓝海金澜.jpeg|LOOKUP:黄昊-蓝海金澜,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P051_蓝海金澜_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\051_row53_蓝海金澜.jpeg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\051_6a432443ab3c850015ae9673\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\051_6a432443ab3c850015ae9673\image_03.jpg,
52,6a432446ab3c850015ae9689,黄昊,青坪粉絮,黄昊-青坪粉絮,LOCAL_SOURCE:052_row54_青坪粉絮.jpeg|LOOKUP:黄昊-青坪粉絮,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P052_青坪粉絮_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\052_row54_青坪粉絮.jpeg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\052_6a432446ab3c850015ae9689\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\052_6a432446ab3c850015ae9689\image_03.jpg,
53,6a43244ac016db00154e10a4,雷大卫,流光,雷大卫-流光,LOCAL_SOURCE:053_row55_流光.jpeg|LOOKUP:雷大卫-流光,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P053_流光_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\053_row55_流光.jpeg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\053_6a43244ac016db00154e10a4\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\053_6a43244ac016db00154e10a4\image_03.jpg,
54,6a43244ec13d0f0015048288,雷大卫,蓝调构成,雷大卫-蓝调构成,LOCAL_SOURCE:054_row56_蓝调构成.jpeg|LOOKUP:雷大卫-蓝调构成,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P054_蓝调构成_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\054_row56_蓝调构成.jpeg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\054_6a43244ec13d0f0015048288\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\054_6a43244ec13d0f0015048288\image_03.jpg,
57,6a7aa0b52f72a60015b6ce00,陈玲,肌理画,陈玲-肌理画,LOCAL_SOURCE:057_row59_肌理画.jpeg|LOOKUP:陈玲-肌理画,EXISTING_PRODUCT:image_02.jpg,QA_NEEDS_MANUAL,作品在场景1中尺寸过小，当前证据不足以逐项检查边缘、内容和装裱,EXISTING_PRODUCT:image_03.jpg,QA_NEEDS_MANUAL,作品在场景2中尺寸过小，当前证据不足以逐项检查边缘、内容和装裱,QA_NEEDS_MANUAL,previews/qa_batches/P057_肌理画_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\057_row59_肌理画.jpeg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\057_6a7aa0b52f72a60015b6ce00\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\057_6a7aa0b52f72a60015b6ce00\image_03.jpg,previews/qa_failures/P057_肌理画_QA.jpg
58,6a7aa0bbc13d0f00152276f6,陈玲,秋韵,陈玲-秋韵,LOCAL_SOURCE:058_row60_秋韵.jpeg|LOOKUP:陈玲-秋韵,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,QA_PASS,previews/qa_batches/P058_秋韵_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\058_row60_秋韵.jpeg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\058_6a7aa0bbc13d0f00152276f6\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\058_6a7aa0bbc13d0f00152276f6\image_03.jpg,
59,6a7aa0c0206b71001582c802,陈玲,桦林秋韵,陈玲-桦林秋韵,LOCAL_SOURCE:059_row61_桦林秋韵.jpeg|LOOKUP:陈玲-桦林秋韵,EXISTING_PRODUCT:image_02.jpg,QA_NEEDS_MANUAL,场景1作品过小，无法可靠定位四角,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,QA_NEEDS_MANUAL,previews/qa_batches/P059_桦林秋韵_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\059_row61_桦林秋韵.jpeg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\059_6a7aa0c0206b71001582c802\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\059_6a7aa0c0206b71001582c802\image_03.jpg,previews/qa_failures/P059_桦林秋韵_QA.jpg
