商品序号,商品ID,商品名称,艺术家,作品名,真实尺寸,原有装裱/画框信息,官网场景图数量,官网场景图是否可用,原商品已有可用场景图数量,最终使用场景图1来源,最终使用场景图2来源,新生成场景图数量,scene_1 本地路径,scene_2 本地路径,当前状态,失败原因,备注
54,6a43244ec13d0f0015048288,蓝调构成,雷大卫,蓝调构成,100*70,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\054_6a43244ec13d0f0015048288\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\054_6a43244ec13d0f0015048288\image_03.jpg,READY_FOR_QA,,历史证据仅作候选；仍需当前线上场景图复核
55,6a4b7793c13d0f001501d25b,浮光.锦1_x000b_,臧禄君,浮光.锦1_x000b_,30×30 cm,线上属性为无框；历史场景合成带黑框且作品已错配，不可沿用,0,否,0,GENERATED,GENERATED,0,,,PENDING_GENERATION,,规划补 2 张；本轮实际未生成；历史证据仅作候选；仍需当前线上场景图复核
56,6a4b778c9799e50015f21e35,浮光.锦2_x000b_,臧禄君,浮光.锦2_x000b_,30×30 cm,线上属性为无框；历史场景合成带黑框且作品已错配，不可沿用,0,否,0,GENERATED,GENERATED,0,,,PENDING_GENERATION,,规划补 2 张；本轮实际未生成；历史证据仅作候选；仍需当前线上场景图复核
57,6a7aa0b52f72a60015b6ce00,肌理画,陈玲,肌理画,30*20,UNKNOWN,0,否,2,GENERATED,GENERATED,2,outputs/regen_18/P057/scene_1.png,outputs/regen_18/P057/scene_2.png,READY_FOR_FINAL_FRAME_QA,上一轮候选未满足统一有框规则；本轮已重做，等待 ChatGPT 最终验收,本轮修正：加框 + 30×20cm 小尺寸表现；本轮不代表最终 QA_PASS
58,6a7aa0bbc13d0f00152276f6,秋韵,陈玲,秋韵,60*50,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\058_6a7aa0bbc13d0f00152276f6\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\058_6a7aa0bbc13d0f00152276f6\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
59,6a7aa0c0206b71001582c802,桦林秋韵,陈玲,桦林秋韵,50*40,UNKNOWN,0,否,2,GENERATED,GENERATED,2,outputs/regen_18/P059/scene_1.png,outputs/regen_18/P059/scene_2.png,READY_FOR_FINAL_FRAME_QA,上一轮候选未满足统一有框规则；本轮已重做，等待 ChatGPT 最终验收,本轮修正：统一改为有框；本轮不代表最终 QA_PASS
60,6a7aa0c9c13d0f0015227755,夜落星河,陈玲,夜落星河,40*60,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\060_6a7aa0c9c13d0f0015227755\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\060_6a7aa0c9c13d0f0015227755\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
61,6a4b738982f5610015b5274a,枕星而眠,陈玲,枕星而眠,30×40 cm,官方场景显示深色窄框装裱；保留原画芯比例和画框，不改为无框,3,是,1,OFFICIAL,OFFICIAL,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\official_candidates\batches_005_007_part_a\061\official_03.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\official_candidates\batches_005_007_part_a\061\official_04.jpg,READY_FOR_QA,,历史证据仅作候选；仍需当前线上场景图复核
62,6a7bdbfe96a66f00151dadeb,叶中花·春野花信,毛一然,叶中花·春野花信,40*30,UNKNOWN,0,否,2,GENERATED,GENERATED,2,outputs/regen_18/P062/scene_1.png,outputs/regen_18/P062/scene_2.png,READY_FOR_REGEN_QA,上一轮 Visual QA 未通过；本轮已按原作品重做/补图，等待 ChatGPT 验收,本轮快速重做；场景1=GENERATED，场景2=GENERATED；不代表最终 QA_PASS
63,6a7bdc04cc27b900154c2b11,叶中花·花漫,毛一然,叶中花·花漫,40*30,UNKNOWN,0,否,2,GENERATED,GENERATED,2,outputs/regen_18/P063/scene_1.png,outputs/regen_18/P063/scene_2.png,READY_FOR_REGEN_QA,上一轮 Visual QA 未通过；本轮已按原作品重做/补图，等待 ChatGPT 验收,本轮快速重做；场景1=GENERATED，场景2=GENERATED；不代表最终 QA_PASS
64,6a7bdbf8bb783d00153f4aec,叶中花·粉黛玫瑰,毛一然,叶中花·粉黛玫瑰,30*30,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\064_6a7bdbf8bb783d00153f4aec\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\064_6a7bdbf8bb783d00153f4aec\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
65,6a7ee0a6eb8eff0015995b5a,野鸭图,吴林霏,野鸭图,官网46×69 cm；Excel字段69×49存在顺序/录入冲突，需按实物复核,本地审核场景显示窄深色框；纸本水墨画芯完整可见,2,是,0,OFFICIAL,OFFICIAL,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\data\artist_works\丁冠中_散落之前_20260814\preview_assets_direct\09_吴林霏_《野鸭图》\02_scene_c1.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\data\artist_works\丁冠中_散落之前_20260814\preview_assets_direct\09_吴林霏_《野鸭图》\03_scene_c2.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
66,6a7ed5fb202ba20015805ccb,国色春融,吴林霏,国色春融,35×138 cm,本地审核场景显示窄框装裱；保持画芯完整和原竖向比例,2,是,0,OFFICIAL,OFFICIAL,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\data\artist_works\丁冠中_散落之前_20260814\preview_assets_direct\08_吴林霏_《国色春融》\02_scene_c1.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\data\artist_works\丁冠中_散落之前_20260814\preview_assets_direct\08_吴林霏_《国色春融》\03_scene_c2.jpg,READY_FOR_QA,,历史证据仅作候选；仍需当前线上场景图复核
67,6a7ed5a4e3af990015a39702,寿石芳华,吴林霏,寿石芳华,35×138 cm,本地审核场景显示窄框装裱；保持画芯完整和原竖向比例,2,是,0,OFFICIAL,OFFICIAL,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\data\artist_works\丁冠中_散落之前_20260814\preview_assets_direct\06_吴林霏_《寿石芳华》\02_scene_c1.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\data\artist_works\丁冠中_散落之前_20260814\preview_assets_direct\06_吴林霏_《寿石芳华》\03_scene_c2.jpg,READY_FOR_QA,,历史证据仅作候选；仍需当前线上场景图复核
68,6a7ed5ce69cb0d0015e0775d,玉兰图,吴林霏,玉兰图,35×138 cm,本地审核场景显示窄框装裱；保持题款、画芯和原竖向比例,2,是,0,OFFICIAL,OFFICIAL,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\data\artist_works\丁冠中_散落之前_20260814\preview_assets_direct\07_吴林霏_《玉兰图》\02_scene_c1.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\data\artist_works\丁冠中_散落之前_20260814\preview_assets_direct\07_吴林霏_《玉兰图》\03_scene_c2.jpg,READY_FOR_QA,,历史证据仅作候选；仍需当前线上场景图复核
69,6a7ed4e8acfd2d0015cc7459,散落之前 1,丁冠中,散落之前 1,40×50 cm,本地直连场景显示窄深色框；沿用现有官方装裱，不新增或删除画框,2,是,0,OFFICIAL,OFFICIAL,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\data\artist_works\丁冠中_散落之前_20260814\preview_assets_direct\01_丁冠中_《散落之前 1》\02_scene_medium_1.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\data\artist_works\丁冠中_散落之前_20260814\preview_assets_direct\01_丁冠中_《散落之前 1》\03_scene_medium_2.jpg,READY_FOR_QA,,历史证据仅作候选；仍需当前线上场景图复核
70,6a7ed50d87c186001504a423,散落之前 2,丁冠中,散落之前 2,40×50 cm,本地直连场景显示窄深色框；沿用现有官方装裱，不新增或删除画框,2,是,0,OFFICIAL,OFFICIAL,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\data\artist_works\丁冠中_散落之前_20260814\preview_assets_direct\02_丁冠中_《散落之前 2》\02_scene_medium_1.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\data\artist_works\丁冠中_散落之前_20260814\preview_assets_direct\02_丁冠中_《散落之前 2》\03_scene_medium_2.jpg,READY_FOR_QA,,历史证据仅作候选；仍需当前线上场景图复核
71,6a7ed532ab3c850015680c23,散落之前 8,丁冠中,散落之前 8,30×40 cm,本地直连场景显示窄深色框；沿用现有官方装裱，不新增或删除画框,2,是,0,OFFICIAL,OFFICIAL,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\data\artist_works\丁冠中_散落之前_20260814\preview_assets_direct\03_丁冠中_《散落之前 8》\02_scene_medium_1.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\data\artist_works\丁冠中_散落之前_20260814\preview_assets_direct\03_丁冠中_《散落之前 8》\03_scene_medium_2.jpg,READY_FOR_QA,,历史证据仅作候选；仍需当前线上场景图复核
72,6a7ed55687fda10015a4cdcc,散落之前 16,丁冠中,散落之前 16,30×40 cm,本地直连场景显示窄深色框；沿用现有官方装裱，不新增或删除画框,2,是,0,OFFICIAL,OFFICIAL,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\data\artist_works\丁冠中_散落之前_20260814\preview_assets_direct\04_丁冠中_《散落之前 16》\02_scene_medium_1.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\data\artist_works\丁冠中_散落之前_20260814\preview_assets_direct\04_丁冠中_《散落之前 16》\03_scene_medium_2.jpg,READY_FOR_QA,,历史证据仅作候选；仍需当前线上场景图复核
73,6a7ed57c06318f00158b348d,散落之前 17,丁冠中,散落之前 17,30×40 cm,本地直连场景显示窄深色框；沿用现有官方装裱，不新增或删除画框,2,是,0,OFFICIAL,OFFICIAL,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\data\artist_works\丁冠中_散落之前_20260814\preview_assets_direct\05_丁冠中_《散落之前 17》\02_scene_medium_1.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\data\artist_works\丁冠中_散落之前_20260814\preview_assets_direct\05_丁冠中_《散落之前 17》\03_scene_medium_2.jpg,READY_FOR_QA,,历史证据仅作候选；仍需当前线上场景图复核
74,6a7f03b88a78380015d39d78,角落,治愈颜料罐,角落,50*40cm,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\074_6a7f03b88a78380015d39d78\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\074_6a7f03b88a78380015d39d78\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
75,6a7f03dc87fda10015a5d904,瓷语,治愈颜料罐,瓷语,50*40cm,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\075_6a7f03dc87fda10015a5d904\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\075_6a7f03dc87fda10015a5d904\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
76,6a7f0477c0b079001539e3da,暖,治愈颜料罐,暖,40*40cm,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\076_6a7f0477c0b079001539e3da\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\076_6a7f0477c0b079001539e3da\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
77,6a545d9b4ab6d300156c31ec,权利游戏之来财,顽童,权利游戏之来财,40*40cm,UNKNOWN,0,否,2,GENERATED,GENERATED,2,outputs/regen_18/P077/scene_1.png,outputs/regen_18/P077/scene_2.png,READY_FOR_FINAL_FRAME_QA,上一轮候选未满足统一有框规则；本轮已重做，等待 ChatGPT 最终验收,本轮修正：加框；本轮不代表最终 QA_PASS
78,6a548b8ca54570001590a94d,权利游戏之操控,顽童,权利游戏之操控,40×40 cm,源图无框；官方02为无框挂墙场景，生成时不得添加画框,1,是,1,OFFICIAL,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\official_candidates\batches_005_007\78\scene_1_official_white_wall.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\078_6a548b8ca54570001590a94d\image_02.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
79,6a82e2ce8f920f0015b0cdc5,红狗（2024）,韩冬,红狗（2024）,40×30 cm,商品/源图无框；现有线上场景误加框，生成时保持无框,0,否,0,GENERATED,GENERATED,0,,,PENDING_GENERATION,,规划补 2 张；本轮实际未生成
80,6a82e2f48a78380015ed55e5,蓝狗（2024）,韩冬,蓝狗（2024）,30×30 cm,商品/源图无框；现有线上场景误加框，生成时保持无框,0,否,0,GENERATED,GENERATED,0,,,PENDING_GENERATION,,规划补 2 张；本轮实际未生成
81,6a82e318bb783d0015d625a8,两个狗（2024）,韩冬,两个狗（2024）,30×40 cm,商品/源图无框；现有线上场景误加框，生成时保持无框,0,否,0,GENERATED,GENERATED,0,,,PENDING_GENERATION,,规划补 2 张；本轮实际未生成
82,6a82e33cbbfeef00155b125a,野兽派猫居手记 5（2026）,张玲,野兽派猫居手记 5（2026）,装裱后39×50 cm；画芯30×40 cm,有框；保留官网真实外框，不添加或删除画框,1,是,1,OFFICIAL,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\ChatGPT\商品管理\work\qiyq_excel_dual_preview_20260817_qiyq_excel_dual\assets\06_张玲_野兽派猫居手记_5\official_05.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\082_6a82e33cbbfeef00155b125a\image_02.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
83,6a82e3622f72a60015ac21aa,野兽派猫居手记 6（2026）,张玲,野兽派猫居手记 6（2026）,装裱后39×50 cm；画芯30×40 cm,有框；保留官网真实外框，不添加或删除画框,1,是,1,OFFICIAL,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\ChatGPT\商品管理\work\qiyq_excel_dual_preview_20260817_qiyq_excel_dual\assets\07_张玲_野兽派猫居手记_6\official_05.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\083_6a82e3622f72a60015ac21aa\image_02.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
84,6a82e38a69cb0d0015fae931,野兽派猫居手记 7（2026）,张玲,野兽派猫居手记 7（2026）,装裱后39×50 cm；画芯30×40 cm,有框；保留官网真实外框，不添加或删除画框,1,是,1,GENERATED,GENERATED,2,outputs/regen_18/P084/scene_1.png,outputs/regen_18/P084/scene_2.png,READY_FOR_REGEN_QA,上一轮 Visual QA 未通过；本轮已按原作品重做/补图，等待 ChatGPT 验收,本轮快速重做；场景1=GENERATED，场景2=GENERATED；不代表最终 QA_PASS
85,6a82e3b4a495710015075be2,野兽派猫居手记 8（2026）,张玲,野兽派猫居手记 8（2026）,装裱后37×47 cm；画芯30×40 cm,有框；保留官网真实外框，不添加或删除画框,1,是,1,OFFICIAL,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\ChatGPT\商品管理\work\qiyq_excel_dual_preview_20260817_qiyq_excel_dual\assets\09_张玲_野兽派猫居手记_8\official_05.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\085_6a82e3b4a495710015075be2\image_02.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
86,6a75bd64b814030015b51a71,《海的呼唤》系列之十一,张玲,《海的呼唤》系列之十一,69×69,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\086_6a75bd64b814030015b51a71\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\086_6a75bd64b814030015b51a71\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
87,,《遥望》系列之三,刘宇,《遥望》系列之三,68×66,UNKNOWN,0,否,0,,,0,,,MANUAL_REVIEW,,匹配存在多候选，未猜测，待人工复核
88,,《海的呼唤》系列之二,刘宇,《海的呼唤》系列之二,138×69,UNKNOWN,0,否,0,,,0,,,MANUAL_REVIEW,,匹配存在多候选，未猜测，待人工复核
89,,《海的呼唤》系列之六,刘宇,《海的呼唤》系列之六,138×69,UNKNOWN,0,否,0,,,0,,,MANUAL_REVIEW,,匹配存在多候选，未猜测，待人工复核
90,,《海的呼唤》系列之四,刘宇,《海的呼唤》系列之四,138×69,UNKNOWN,0,否,0,,,0,,,MANUAL_REVIEW,,匹配存在多候选，未猜测，待人工复核
91,6a86635f16b37a0015eb516c,粉色天鹅湖,蔡嘉,粉色天鹅湖,20cm*20cm,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\091_6a86635f16b37a0015eb516c\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\091_6a86635f16b37a0015eb516c\image_05.jpg,READY_FOR_QA,,历史证据仅作候选；仍需当前线上场景图复核
92,6a8663a3c13d0f00154adaab,奋力上游,蔡嘉,奋力上游,20cm*20cm,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\092_6a8663a3c13d0f00154adaab\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\092_6a8663a3c13d0f00154adaab\image_05.jpg,READY_FOR_QA,,历史证据仅作候选；仍需当前线上场景图复核
93,6a8663e6ab3c8500156b0424,海的远方,蔡嘉,海的远方,20cm*30cm,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\093_6a8663e6ab3c8500156b0424\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\093_6a8663e6ab3c8500156b0424\image_05.jpg,READY_FOR_QA,,历史证据仅作候选；仍需当前线上场景图复核
94,6a866429202ba20015a470e6,绚丽黄昏,蔡嘉,绚丽黄昏,20cm*30cm,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\094_6a866429202ba20015a470e6\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\094_6a866429202ba20015a470e6\image_05.jpg,READY_FOR_QA,,历史证据仅作候选；仍需当前线上场景图复核
95,6a86646ccc27b9001578c2e8,静静的岁月,蔡嘉,静静的岁月,20cm*30cm,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\095_6a86646ccc27b9001578c2e8\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\095_6a86646ccc27b9001578c2e8\image_05.jpg,READY_FOR_QA,,历史证据仅作候选；仍需当前线上场景图复核
96,6a852ae9a545700015b49eb6,《窗畔繁花》,王磊磊,《窗畔繁花》,30×30 cm,源图未见独立画框；生成场景保持无框,0,否,0,GENERATED,GENERATED,0,,,PENDING_GENERATION,,规划补 2 张；本轮实际未生成
97,6a852b0dc875390015c29005,《六出盛放》,王磊磊,《六出盛放》,30×30 cm,源图无框；现有线上场景误加框，生成时保持无框,0,否,0,GENERATED,GENERATED,0,,,PENDING_GENERATION,,规划补 2 张；本轮实际未生成
